kid	2.3	0.45826	[2, 3, 2, 3, 2, 2, 2, 2, 2, 3]
blossom	0.8	0.74833	[0, 1, 0, 0, 2, 1, 1, 2, 1, 0]
sustainable	1.7	0.45826	[2, 2, 1, 1, 2, 2, 2, 2, 1, 2]
unlikely	-1.0	0.63246	[-1, -2, 0, -1, -1, -1, -2, 0, -1, -1]
deflationary	1.8	0.40000	[2, 2, 2, 2, 1, 1, 2, 2, 2, 2]
fat	-2.4	0.66332	[-2, -2, -3, -3, -1, -2, -3, -3, -3, -2]
quiet	-1.3	0.78102	[-1, -2, -1, -1, -2, 0, -3, -1, -1, -1]
repay	2.4	0.48990	[2, 3, 2, 2, 2, 2, 3, 2, 3, 3]
proper	1.6	0.48990	[1, 1, 2, 2, 1, 2, 1, 2, 2, 2]
gamble	-2.5	0.67082	[-3, -3, -3, -3, -3, -2, -3, -2, -2, -1]
signals	-0.8	0.40000	[-1, -1, -1, -1, -1, -1, -1, 0, 0, -1]
compatible	2.0	0.63246	[2, 2, 2, 2, 3, 1, 3, 1, 2, 2]
opinions	1.0	0.63246	[1, 1, 0, 1, 1, 2, 0, 2, 1, 1]
emotions	-0.8	0.40000	[-1, -1, -1, 0, -1, 0, -1, -1, -1, -1]
principle	1.0	0.63246	[1, 0, 1, 1, 2, 0, 2, 1, 1, 1]
premium	1.4	0.48990	[1, 1, 1, 2, 1, 2, 1, 2, 2, 1]
specifically	-0.2	0.40000	[0, 0, 0, 0, -1, 0, 0, -1, 0, 0]
experienced	2.0	0.77460	[2, 2, 2, 3, 3, 1, 2, 3, 1, 1]
transparent	-0.6	0.66332	[-1, 0, -1, 0, -2, -1, 0, 0, 0, -1]
dash	-0.6	0.66332	[0, -1, -1, 0, -1, 0, 0, -1, -2, 0]
felt	0.0	0.44721	[0, 1, -1, 0, 0, 0, 0, 0, 0, 0]
shark	-2.5	0.50000	[-3, -3, -2, -2, -2, -2, -3, -2, -3, -3]
perspective	-0.7	0.45826	[-1, -1, -1, 0, -1, -1, -1, -1, 0, 0]
upward	1.8	0.60000	[2, 2, 2, 2, 3, 2, 1, 1, 2, 1]
classic	1.3	0.45826	[1, 2, 1, 1, 2, 1, 1, 1, 1, 2]
approve	2.3	0.45826	[2, 2, 2, 2, 2, 2, 3, 3, 2, 3]
hole	-1.5	0.50000	[-2, -1, -1, -1, -2, -1, -1, -2, -2, -2]
familiar	-1.0	0.77460	[-1, -2, 1, -1, -1, -1, -2, -1, -1, -1]
master	3.7	0.45826	[4, 3, 4, 4, 3, 3, 4, 4, 4, 4]
